Well ,mTVDSS,WELL,mTVDSS,ANGLE_FAIL.DEG                  :  Fail Angle,BRIT_IND.                     :  Brittleness Index,CS   .M/MIN                 :  Compressive Strength,DTCO .US/F                 :  Compressional slowness,DTSM .US/F                 :  Fast Shear Slowness,IP   .RAYL/M2                 :  P Impedence,IS   .RAYL/M2                 :  S Impedance,KBULK.                     :  Bulk Mudulus,LAMRHO.                     :  ,MU   .CP                   :  Mu,PR   .                     :  Poisson's ratio,PRESS_OB.PSI                  :  Over-burden Pressure,PRESS_SHMAX.PSI                  :  Horizontal Stress (Max),PRESS_SHMIN.PSI                  :  Horizontal Stress (Min),PR_STAT.                     :  Poisson's ratio (Static),PZS  .PSI                  :  Processed Zone Stress,STRESS_CUM.PSI                  :  Cumulative stress (SHPZ),UCS_BF.PSI                  :  Uniaxial Compressive Strength (BF),VP   .FT/S                 :  Compressional velocity,VPVS .                     :  Vp / Vs ratio,VS   .FT/S                 :  Shear velocity,YM   .                     :  Youngs' Modulus,YM_STAT.                     :  Youngs' Modulus (Static),PRESS_PP.PSI                  :  Pore Pressure,Well Block Pressure (psi),Depletion_Type
106,,Raag-106,3025.592467,41.926,75.428,1302.53,60.631,106.25,13820.535,7886.611,24.229,66.61,22.624,0.259,10532.729,10720.487,6777.588,0.233,2742.47,12240.115,3753.216,16493.268,1.752,9411.791,8.26,5.743,5236.979,5184.416504,
106,,Raag-106,3028.424071,41.193,63.654,1269.376,62.741,111.471,12073.551,6795.515,21.492,53.413,18.581,0.268,10543.736,10727.898,6860.49,0.241,1880.678,10682.336,2993.01,15938.593,1.777,8970.927,6.835,4.467,5238.282,5187.270996,
106,,Raag-106,3031.255973,43.434,77.263,1373.206,56.439,101.815,14586.027,8085.532,30.361,82.001,24.206,0.278,10554.744,10734.797,6953.688,0.25,2464.943,12037.262,4161.592,17718.15,1.804,9821.774,8.975,6.428,5239.579,5189.040527,
106,,Raag-106,3034.088469,43.023,78.653,1353.586,57.563,102.385,14531.81,8170.115,28.302,77.672,24.323,0.269,10565.753,10750.134,6878.132,0.242,3079.152,13114.567,4148.656,17372.301,1.779,9767.103,8.953,6.407,5240.868,5190.352051,
106,,Raag-106,3036.921562,38.679,59.341,1161.111,70.348,122.082,11185.09,6445.227,16.279,42.024,16.092,0.251,10576.765,10768.951,6733.026,0.226,886.348,8438.75,2504.56,14215.125,1.735,8191.236,5.841,3.648,5242.15,5191.664063,
106,,Raag-106,3039.754952,40.577,59.27,1242.106,64.55,117.022,12225.997,6743.936,22.599,58.514,17.566,0.281,10587.777,10767.58,6991.712,0.253,1785.826,10755.076,2838.679,15491.866,1.813,8545.41,6.529,4.208,5243.426,5172.353027,
106,,Raag-106,3042.588937,44.656,80.208,1433.055,53.189,99.782,16155.364,8611.651,39.967,112.675,26.306,0.302,10598.792,10769.572,7183.204,0.271,3055.572,13677.551,4735.911,18800.916,1.876,10021.868,9.931,7.392,5244.695,5173.816895,
106,,Raag-106,3047.202013,38.156,59.091,1139.515,72.008,122.744,10485.407,6151.306,13.833,34.267,15.275,0.238,10616.769,10815.835,6635.441,0.214,1274.09,9019.061,2337.171,13887.307,1.705,8147.045,5.484,3.367,5246.751,5175.943359,
106,,Raag-106,3053.593586,41.906,62.587,1301.643,60.686,113.421,13682.951,7321.061,29.375,80.027,19.674,0.299,10641.138,10814.234,7179.19,0.27,2850.164,13258.707,3294.325,16478.266,1.869,8816.693,7.416,4.973,5249.508,5178.89209,
106,,Raag-106,3059.98248,42.342,72.365,1321.701,59.454,107.2,14167.963,7857.671,27.951,77.245,22.342,0.278,10666.102,10849.632,6995.491,0.25,3069.323,13329.629,3765.51,16819.783,1.803,9328.393,8.282,5.764,5252.296,5181.842285,
106,,Raag-106,3066.367802,40.154,60.281,1223.672,65.812,117.493,12014.221,6729.656,20.726,53.765,17.458,0.271,10690.502,10877.724,6946.069,0.244,2275.923,11643.983,2793.865,15194.705,1.785,8511.175,6.439,4.133,5254.987,5184.793457,
106,,Raag-106,3072.750444,42.912,77.41,1348.347,57.868,104.431,15007.56,8316.049,30.504,86.913,24.272,0.278,10715.498,10900.202,7021.413,0.251,2753.748,12750.321,4176.934,17280.707,1.805,9575.654,9.001,6.454,5257.708,5187.745606,
106,,Raag-106,3079.130706,43.557,78.791,1379.104,56.107,104.285,16254.211,8745.089,37.181,111.246,25.56,0.296,10740.51,10917.739,7195.921,0.267,2669.813,12931.468,4540.038,17822.992,1.859,9589.125,9.611,7.063,5260.395,5190.699219,
106,,Raag-106,3085.507991,44.435,105.769,1422.066,53.766,91.941,17317.678,10127.257,31.026,94.779,33.574,0.24,10765.537,10967.995,6716.376,0.216,2883.649,12400.049,6140.383,18598.977,1.71,10876.552,12.078,9.749,5263.046,5010.818359,
106,,Raag-106,3091.882895,41.966,76.601,1304.359,60.517,100.767,11648.059,6995.438,16.347,37.805,21.16,0.218,10789.996,11002.492,6540.061,0.196,2886.592,12053.307,3325.931,16524.227,1.665,9923.904,7.476,5.026,5265.604,5024.103027,
106,,Raag-106,3098.255716,43.573,77.643,1379.887,56.063,100.627,14343.217,7991.214,29.569,78.009,24.206,0.275,10814.468,11003.714,7029.55,0.247,3019.869,13298.837,4148.226,17836.949,1.795,9937.72,8.952,6.406,5268.127,5026.924316,
106,,Raag-106,3104.625559,42.413,80.642,1324.974,59.256,101.199,13466.395,7885.068,21.771,56.995,23.749,0.239,10839.537,11045.061,6729.056,0.215,2960.274,12578.659,3909.101,16875.957,1.708,9881.491,8.536,6.005,5270.677,5029.746582,
106,,Raag-106,3110.876341,41.077,77.626,1264.233,63.077,106.044,12847.961,7642.153,18.153,48.265,21.966,0.226,10863.449,11075.092,6630.6,0.204,2307.693,11076.585,3507.301,15853.69,1.681,9430.003,7.813,5.33,5273.076,5242.80127,
106,,Raag-106,3117.010441,40.002,65.897,1217.102,66.27,114.683,12056.144,6966.709,18.419,48.281,18.516,0.249,10887.952,11090.848,6830.04,0.224,715.26,8290.6,2929.621,15089.737,1.73,8719.689,6.71,4.361,5275.5,5245.686523,
106,,Raag-106,3123.146029,45.558,91.219,1478.885,50.869,93.82,17038.199,9237.99,42.067,119.619,30.012,0.292,10911.298,11095.45,7228.26,0.263,1266.776,10190.072,5577.199,19658.455,1.844,10658.674,11.246,8.804,5277.777,5230.67627,
106,,Raag-106,3129.28251,41.502,62.342,1283.284,61.844,111.838,12373.193,6842.073,23.688,59.468,18.647,0.28,10935.234,11126.038,7119.163,0.252,1067.822,9573.972,3037.421,16169.744,1.808,8941.473,6.922,4.542,5280.08,5234.345215,
106,,Raag-106,3134.986497,44.176,81.919,1409.23,54.452,98.235,15097.372,8368.47,32.579,87.868,25.965,0.278,10957.435,11149.444,7117.237,0.25,724.783,8884.039,4549.983,18364.865,1.804,10179.641,9.628,7.08,5282.186,5237.021484,
