Well ,mTVDSS,Northing,Easting,ANGLE_FAIL.DEG                  :  Fail Angle,BRIT_IND.                     :  Brittleness Index,BRIT_PR.                     :  Brittleness Index from Poisson's Ratio,BRIT_YM.                     :  Brittleness Index from Young's Modulus,CS   .M/MIN                 :  Compressive Strength,DTCO .US/F                 :  Compressional slowness,DTSM .US/F                 :  Fast Shear Slowness,IP   .RAYL/M2                 :  P Impedence,IS   .RAYL/M2                 :  S Impedance,KBULK.                     :  Bulk Mudulus,LAMBDA.                     :  Lambda,LAMRHO.                     :  ,MU   .CP                   :  Mu,PR   .                     :  Poisson's ratio,PRESS_OB.PSI                  :  Over-burden Pressure,PRESS_SHMAX.PSI                  :  Horizontal Stress (Max),PRESS_SHMIN.PSI                  :  Horizontal Stress (Min),PR_STAT.                     :  Poisson's ratio (Static),PZS  .PSI                  :  Processed Zone Stress,SHMAX_GRAD.                     :  Horizontal Stress Gradient (Max),SHMIN_GRAD.                     :  Horizontal Stress Gradient (Min),STRESS_CUM.PSI                  :  Cumulative stress (SHPZ),UCS_BF.PSI                  :  Uniaxial Compressive Strength (BF),UCS_LAL.PSI                  :  Uniaxial Compressive Strength (lal),VP   .FT/S                 :  Compressional velocity,VPVS .                     :  Vp / Vs ratio,VS   .FT/S                 :  Shear velocity,YM   .                     :  Youngs' Modulus,YM_STAT.                     :  Youngs' Modulus (Static),Difference[PP-PWELL]
105,3124.818559,839184.7323,2516794.296,40.549,58.667,38.515,78.819,1240.89,64.632,117.76,12313.19,6758.054,23.084,23.084,60.272,17.492,0.284,10914.97,11103.045,7153.454,0.256,1551.44,2.496,1.608,10609.788,2832.95,5389.469,15472.14,1.822,8491.833,6.517,4.199,133.151809
105,3127.879954,839184.741,2516794.303,39.024,49.67,34.454,64.887,1175.495,69.269,128.824,11581.857,6227.631,21.493,21.493,56.573,14.735,0.297,10926.836,11109.528,7272.991,0.267,1077.933,2.495,1.634,9901.848,2364.144,4931.599,14436.41,1.86,7762.54,5.542,3.412,132.894883
105,3130.942539,839184.7498,2516794.31,41.311,61.645,35.63,87.661,1274.688,62.396,115.336,13306.992,7199.028,26.953,26.953,73.424,19.025,0.293,10938.704,11123.347,7245.855,0.264,1600.083,2.496,1.626,10891.876,3147.727,5634.59,16026.618,1.848,8670.335,7.136,4.727,79.134352
105,3134.006613,839184.7585,2516794.316,41.709,67.201,39.325,95.076,1292.641,61.25,111.162,13625.358,7507.539,26.634,26.634,72.924,20.585,0.282,10951.167,11141.392,7146.681,0.254,1984.036,2.497,1.602,11461.433,3421.996,5767.163,16326.504,1.815,8995.863,7.655,5.187,79.115691
105,3137.071877,839184.7672,2516794.323,40.981,70.657,48.587,92.728,1259.972,63.357,110.367,12987.086,7455.347,21.3,21.3,57.5,20.589,0.254,10962.447,11165.603,6899.337,0.229,2498.766,2.501,1.545,11996.207,3334.122,5527.148,15783.576,1.742,9060.696,7.491,5.04,78.450641
105,3140.139224,839184.7759,2516794.33,39.3,66.313,59.728,72.897,1187.099,68.415,114.295,10795.853,6462.224,13.63,13.63,33.03,17.233,0.221,10974.917,11192.669,6619.874,0.199,961.269,2.504,1.481,8362.287,2629.648,5011.272,14616.635,1.671,8749.281,6.103,3.858,78.190859
105,3143.206869,839184.7787,2516794.337,41.567,60.669,33.11,88.228,1286.215,61.657,115.488,13498.292,7206.505,28.689,28.689,78.337,19.02,0.301,10986.794,11169.152,7339.627,0.271,2133.032,2.496,1.641,12145.32,3168.371,5719.519,16218.732,1.873,8658.9,7.176,4.762,77.868102
105,3146.276003,839184.7799,2516794.343,39,62.787,53.045,72.529,1174.481,69.345,118.689,11252.414,6574.297,15.693,15.693,40.174,16.883,0.241,10998.675,11208.869,6794.79,0.217,1311.271,2.503,1.517,9412.12,2617.19,4924.669,14420.734,1.712,8425.409,6.077,3.837,154.449406
105,3149.346327,839184.781,2516794.35,40.311,61.257,45.52,76.993,1230.505,65.341,115.297,11636.854,6594.819,19.415,19.415,48.433,17.434,0.263,11010.559,11211.209,6997.554,0.237,950.639,2.501,1.561,9096.387,2769.623,5315.315,15304.397,1.764,8673.282,6.389,4.093,144.36016
105,3152.418438,839184.7822,2516794.357,40.721,65.011,48.267,81.754,1248.456,64.123,111.847,11818.175,6775.435,19.248,19.248,47.856,18.464,0.255,11022.442,11227.136,6928.574,0.23,1288.412,2.502,1.544,9633.972,2935.982,5443.838,15595.126,1.744,8940.785,6.723,4.372,144.037305
105,3155.491441,839184.7833,2516794.363,37.678,57.326,56.207,58.444,1120.093,73.546,124.407,9840.608,5817.5,12.277,12.277,29.151,14.253,0.231,11034.33,11249.779,6725.355,0.208,840.45,2.505,1.497,8331.61,2158.581,4560.503,13596.97,1.692,8038.159,5.091,3.067,74.684012
105,3158.565337,839184.7845,2516794.37,43.487,66.643,28.036,105.25,1375.717,56.298,108.522,15045.039,7804.88,37.613,37.613,104.521,21.921,0.316,11046.221,11222.506,7520.521,0.284,2246.477,2.496,1.673,12733.995,3813.648,6402.089,17762.746,1.928,9214.738,8.367,5.844,74.313418
105,3161.641019,839184.7857,2516794.377,40.639,63.725,42.882,84.568,1244.817,64.367,114.906,12627.442,7073.562,22.268,22.268,59.382,18.763,0.271,11058.706,11257.208,7088.665,0.244,1689.949,2.501,1.575,10757.228,3036.09,5417.65,15535.886,1.785,8702.796,6.92,4.54,66.252008
105,3164.717594,839184.7868,2516794.383,40.748,59.103,35.559,82.648,1249.642,64.043,118.424,12993.998,7027.129,25.669,25.669,70.083,18.087,0.293,11070.602,11259.012,7302.387,0.264,1711.783,2.499,1.621,11228.34,2967.633,5452.386,15614.461,1.849,8444.27,6.785,4.425,65.861043
105,3167.794764,839184.788,2516794.39,43.704,80.254,39.1,121.407,1386.193,55.712,101.22,15402.462,8477.556,33.211,33.211,93.498,25.528,0.283,11082.499,11276.229,7207.872,0.254,1749.065,2.501,1.599,11113.874,4472.009,6484.671,17949.551,1.817,9879.48,9.498,6.949,84.810223
105,3170.874018,839184.7908,2516794.393,43.593,73.723,37.302,110.143,1380.821,56.011,102.663,14391.218,7851.606,31.692,31.692,83.812,23.311,0.288,11094.397,11285.94,7263.539,0.259,2528.083,2.501,1.609,12783.243,4008.307,6442.255,17853.604,1.833,9740.626,8.71,6.171,84.807555
105,3173.954165,839184.7956,2516794.392,43.103,75.039,45.396,104.683,1357.396,57.342,101.237,13320.702,7545.048,25.373,25.373,63.586,22.716,0.264,11106.3,11309.68,7038.689,0.237,2557.144,2.503,1.558,12391.664,3791.338,6259.015,17439.104,1.766,9877.772,8.328,5.807,83.694348
105,3177.035205,839184.8004,2516794.391,41.387,70.078,49.968,90.189,1278.092,62.177,107.707,12345.202,7126.593,20.183,20.183,50.827,20.168,0.25,11118.8,11328.833,6918.131,0.225,3072.528,2.505,1.53,13181.316,3240.164,5659.602,16083.194,1.732,9284.447,7.313,4.882,83.325312
105,3180.117435,839184.8052,2516794.389,41.314,72.65,54.682,90.619,1274.829,62.387,106.124,12131.057,7131.469,18.303,18.303,45.447,20.482,0.236,11130.706,11347.323,6798.346,0.212,1919.469,2.507,1.502,10635.63,3256.011,5635.623,16028.955,1.701,9422.922,7.343,4.909,82.897789
