Well ,mTVDSS,Northing,Easting,ANGLE_FAIL.DEG                  :  Fail Angle,BRIT_IND.                     :  Brittleness Index,BRIT_PR.                     :  Brittleness Index from Poisson's Ratio,BRIT_YM.                     :  Brittleness Index from Young's Modulus,CS   .M/MIN                 :  Compressive Strength,DTCO .US/F                 :  Compressional slowness,DTSM .US/F                 :  Fast Shear Slowness,IP   .RAYL/M2                 :  P Impedence,IS   .RAYL/M2                 :  S Impedance,KBULK.                     :  Bulk Mudulus,LAMBDA.                     :  Lambda,LAMRHO.                     :  ,MU   .CP                   :  Mu,PR   .                     :  Poisson's ratio,PRESS_OB.PSI                  :  Over-burden Pressure,PRESS_SHMAX.PSI                  :  Horizontal Stress (Max),PRESS_SHMIN.PSI                  :  Horizontal Stress (Min),PR_STAT.                     :  Poisson's ratio (Static),PZS  .PSI                  :  Processed Zone Stress,SHMAX_GRAD.                     :  Horizontal Stress Gradient (Max),SHMIN_GRAD.                     :  Horizontal Stress Gradient (Min),STRESS_CUM.PSI                  :  Cumulative stress (SHPZ),UCS_BF.PSI                  :  Uniaxial Compressive Strength (BF),UCS_LAL.PSI                  :  Uniaxial Compressive Strength (lal),VP   .FT/S                 :  Compressional velocity,VPVS .                     :  Vp / Vs ratio,VS   .FT/S                 :  Shear velocity,YM   .                     :  Youngs' Modulus,YM_STAT.                     :  Youngs' Modulus (Static),Difference[PP-PWELL]
105,3094.281112,839184.6691,2516794.281,43.363,64.46,26.774,102.146,1369.777,56.633,110.004,14925.074,7683.923,37.745,37.745,104.672,21.291,0.32,10796.44,10964.037,7444.52,0.288,2312.807,2.489,1.69,12714.653,3692.292,6355.516,17657.394,1.942,9090.611,8.15,5.641,30.143047
105,3097.328219,839184.6748,2516794.281,38.861,57.371,43.082,71.66,1168.687,69.777,124.451,11885.544,6663.965,19.276,19.276,52.449,16.321,0.271,10808.282,10999.42,6985.53,0.244,1615.095,2.495,1.584,10401.25,2587.917,4885.172,14331.39,1.784,8035.297,6.016,3.788,29.932871
105,3100.376814,839184.6804,2516794.281,37.25,53.104,46.7,59.507,1102.877,74.945,131.58,10712.501,6101.579,15.3,15.3,40.299,14.134,0.26,10820.127,11016.442,6893.822,0.234,1383.748,2.496,1.562,9755.141,2192.019,4448.298,13343.153,1.756,7599.934,5.165,3.123,138.539914
105,3103.427493,839184.686,2516794.281,37.967,54.728,45.47,63.986,1131.797,72.614,128.159,11092.971,6285.231,16.667,16.667,44.046,14.948,0.264,10831.976,11027.034,6930.81,0.237,1492.911,2.496,1.569,10047.441,2334.992,4637.62,13771.412,1.765,7802.826,5.479,3.363,136.497844
105,3106.479065,839184.6916,2516794.281,38.18,53.471,43.143,63.798,1140.525,71.929,128.255,11126.925,6240.335,17.49,17.49,45.925,14.83,0.271,10843.824,11036.157,6997.167,0.244,1590.258,2.496,1.582,10374.851,2328.912,4695.58,13902.522,1.783,7796.979,5.466,3.353,134.500996
105,3109.531827,839184.6973,2516794.281,37.563,57.157,51.104,63.21,1115.462,73.919,127.472,10818.432,6273.435,14.608,14.608,38.327,15.001,0.247,10855.676,11058.771,6793.79,0.222,1399.08,2.498,1.535,9585.739,2309.959,4530.172,13528.357,1.724,7844.878,5.425,3.321,134.298883
105,3112.586376,839184.7029,2516794.281,35.822,52.754,53.913,51.595,1046.872,79.742,136.037,9775.652,5730.286,11.688,11.688,29.891,12.839,0.238,10867.53,11074.584,6726.461,0.214,907.665,2.5,1.518,8468.252,1947.843,4093.425,12540.411,1.706,7350.93,4.612,2.714,134.087305
105,3115.642413,839184.7085,2516794.281,37.444,55.862,54.421,57.304,1110.68,74.306,126.523,9873.22,5798.506,12.562,12.562,30.235,13.969,0.237,10879.386,11087.444,6718.227,0.213,824.231,2.5,1.515,8284.916,2122.954,4498.968,13457.773,1.703,7903.701,5.011,3.007,133.865773
105,3118.699938,839184.7149,2516794.283,39.119,56.043,42.77,69.317,1179.475,68.975,123.193,11452.294,6412.045,18.879,18.879,48.926,15.864,0.272,10891.245,11084.505,7026.058,0.245,951.12,2.497,1.583,9154.355,2509.616,4958.848,14498.049,1.786,8117.338,5.852,3.656,133.636754
105,3121.758653,839184.7236,2516794.289,39.749,49.26,29.61,68.911,1206.237,67.037,128.036,12284.873,6432.057,25.233,25.233,68.175,15.312,0.311,10903.106,11077.993,7405.38,0.28,1216.459,2.493,1.667,10443.677,2496.137,5144.155,14917.225,1.91,7810.292,5.824,3.634,133.399269
